Date deployed ,Time deployed ,Date collect ,Time collected,UTM E,UTM N,Unit name ,SD card ,Habitat type,Plot,Mimi/Ashraft,Moved to SD folder,Team members ,Upload Folder,Record Size (GB),Missing Dev,Deployment Comments,CRP comments
3/21/2024,8:21 AM,7/14/2024,11:37 AM,0671738,1364509,R1444,3828,3,T13,1,,"Toeu Bann,Sorm Sormach,Myn Nak,Dean Den",WA 19_7_24,544.28,No,,
7/14/2024,11:40 AM,,,0671738,1364509,R1444,3833,3,T13,1,,"Toeu Bann,Chek Sokkhon,Myn Nak,Sorm Sormach",,,Yes,,
3/21/2024,9:07 AM,7/14/2024,9:44 AM,0671875,1371303,R1447,3839,3,T21,1,,"Khny Sokry,Chek Sokkhon,Moeun Lita,Thak Liang,Sarin Phoeung",WA 19_7_24,0,Yes,,
3/21/2024,12:58 PM,7/15/2024,10:07 AM,0678649,1371310,R1446,3838,3,T22,2,,"Khny Sokry,Chek Sokkhon,Moeun Lita,Thak Liang,Sarin Phoeung",WA 19_7_24,596.26,No,,
7/15/2024,10:07 AM,,,0678656,1371314,R1446,3827,3,T22,2,,"Khny Sokry,Moeun Lita,Thak Liang, Simone Groger, Phan Phanna",,,Yes,,
3/22/2024,8:19 AM,7/14/2024,8:46 AM,0678719,1364340,R1451,3821,3,T14,2,,"Toeu Bann,Run Hang,Sorm Sormach,Phan Phanna",WA 19_7_24,563.8,No,,
7/14/2024,8:46 AM,,,0678719,1364340,R1451,3835,3,T14,2,,"Toeu Bann,Chek Sokkhon,Myn Nak,Sorm Sormach",,,Yes,,
4/4/2024,9:04 AM,7/25/2024,8:57 AM,0678639,1378171,R1459,3819,3,T30,2,y,"Toeu Bann,Sorm Sormach,Sarin Phoeung",WA 30_7_24,576.11,No,,
7/25/2024,9:02 AM,,,0678639,1378171,R1459,3828,3,T30,2,,"Toeu Bann,Myn Nak,Sorm Sormach,Sarin Phoeung,Chek Sokkhon",,,Yes,,
4/4/2024,9:25 AM,7/26/2024,9:07 AM,0678625,1384970,R1465,3830,3,T37,2,,"Khny Sokry,Myn Nak,phan phanna",WA 30_7_24,581.4,No,,
7/26/2024,9:14 AM,,,0678625,1384970,R1465,3838,3,T37,2,,"Toeu Bann,Myn Nak,Sorm Sormach,Chek Sokkhon",,,Yes,,
3/22/2024,8:34 AM,7/16/2024,11:29 AM,0685472,1371296,R1448,3840,3,T23,3,,"Khny Sokry,Chek Sokkhon,Moeun Lita,Thak Liang,Sarin Phoeung",WA 19_7_24,597.44,No,,
7/16/2024,11:29 AM,,,0685478,1371296,R1448,3837,3,T23,3,,"Khny Sokry,Moeun Lita,Thak Liang, Simone Groger, Phan Phanna",,,Yes,,
4/4/2024,11:09 AM,7/24/2024,8:33 AM,0685438,1378109,R1450,3820,3,T31,3,y,"Toeu Bann,Sorm Sormach,Myn Nak,Phan Phanna,Sarin Phoeung",WA 30_7_24,570.56,No,,
7/24/2024,8:38 AM,,,0685438,1378109,R1450,3822,3,T31,3,,"Toeu Bann,Myn Nak,Sorm Sormach,Sarin Phoeung,Chek Sokkhon",,,Yes,,
2/20/2024,10:07 AM,6/24/2024,8:31 AM,0719563,1357701,R1048,3834,2,T10,,,"Khny Sokry,Dean Den,Chek Sokkhon,Moeun Lita,Thak Liang,Sarin Phoeung",WA 29_6_24,642.97,No,,
6/24/2024,8:31 AM,,,0719566,1357698,R1048,25,2,T10,,,"Khny Sokry,Dean Den,Sorm Sormach",,,Yes,,
3/24/2024,8:56 AM,7/17/2024,9:12 AM,0705919,1364534,R1051,3823,2,T16,,,"Toeu Bann,Myn Nak,Dean Den",WA 19_7_24,591.85,No,,
7/17/2024,9:20 AM,,,0705919,1364534,R1051,3834,2,T16,,,"Toeu Bann,Myn Nak,Sorm Sormach,Sarin Phoeung,",,,Yes,,
2/22/2024,10:20 AM,6/23/2024,8:10 AM,0726402,1357687,R1052,3835,2,T11,,,"Khny Sokry,Dean Den,Chek Sokkhon,Moeun Lita,Thak Liang,Sarin Phoeung",WA 29_6_24,209.18,No,,
6/23/2024,8:10 AM,,,0726403,1357687,R1052,28,2,T11,,,"Khny Sokry,Phan Phanna,Chek Sokkhon,Dean Den,Sorm Sormach",,,Yes,,
2/24/2024,9:14 AM,6/26/2024,9:47 AM,0712781,1350892,R1054,3833,Chamka,T05,,y,"Toeu Bann,Phan Phanna,Myn Nak",WA 29_6_24,632.95,No,,
6/26/2024,10:10 AM,,,0712783,1350928,R1054,22,Chamka,T05,,,"Toeu Bann,Sarin Phoeung,Moeun Lita,Thak Liang, Simone Groger, Myn Nak",,,Yes,,
2/24/2024,10:07 AM,6/26/2024,8:59 AM,0726367,1350847,R1055,3836,2,T07,,,"Khny Sokry,Dean Den,Chek Sokkhon,Moeun Lita,Thak Liang,Sarin Phoeung",WA 29_6_24,632.73,No,,
6/26/2024,8:59 AM,,,0726374,1350852,R1055,27,2,T07,,,"Khny Sokry,Phan Phanna,Chek Sokkhon,Dean Den",,,Yes,,
2/22/2024,7:57 AM,6/24/2024,9:18 AM,0719555,1350845,R1056,3832,2,T06,,y,"Toeu Bann, Sorm Sormach,Phan Phanna",WA 29_6_24,633.21,No,,
6/24/2024,9:18 AM,,,0719555,1350845,R1056,21,2,T06,,,"Toeu Bann,Sarin Phoeung,Simone Groger, Myn Nak",,,Yes,,
2/20/2024,9:21 AM,6/23/2024,9:00 AM,0719576,1344100,R1057,3831,2,T03,,,"Toeu Bann, Run Hang ,Myn Nak",WA 29_6_24,0,Yes,,
5/1/2024,2:18 PM,8/27/2024,8:49 AM,0726334,1371308,R1432,11,2,T29,,,"Toeu Bann,Sorm Sormach,Nhev Thean,Toeu Chan,Sarin Phoeung",WA 29_8_24,605.91,No,,
8/27/2024,8:56 AM,,,0726334,1371308,R1432,3817,2,T29,,,"Toeu Bann,Moeun Lita,Thak Liang, Sorm Sormach,Sarin Phoeung",,,Yes,,
2/5/2024,10:09 AM,8/22/2024,12:51 PM,0699076,1371323,R1433,13,3,T25,,y,"Khny Sokry,Phan Phanna,Berl Sman,Toeu Siha,Thak Lieng,Terk chanrichna,Simone Groger",WA 29_8_24,576.9,No,,
8/22/2024,12:51 PM,,,0691071,1371315,R1433,3815,3,T25,,,"Khny Sokry,Dean Den,Myn Nak,Phan Phanna,Chek Sokkhon",,,Yes,,
5/5/2024,9:41 AM,8/27/2024,7:29 AM,0719577,1371347,R1434,19,2,T28,,y,"Khny Sokry,Phan Phanna,Berl Sman,Thak Lieng,Moeun Lita,Simone Groger",WA 29_8_24,586.03,No,,WA 29_9_24
8/27/2024,7:29 AM,,,0719575,1371348,R1434,,2,T28,,,"Khny Sokry,Dean Den,Myn Nak,Phan Phanna,Chek Sokkhon",,,Yes,,
5/3/2024,9:10 AM,8/23/2024,8:57 AM,0705918,1371299,R1435,17,3,T26,,y,"Khny Sokry,Phan Phanna,Berl Sman,Toeu Siha,Terk chanrichna,Simone Groger",WA 29_8_24,576.29,No,,
8/23/2024,8:57 AM,,,0705916,1371300,R1435,3814,3,T26,,,"Khny Sokry,Dean Den,Myn Nak,Chek Sokkhon",,,Yes,,
5/4/2024,10:16 AM,8/25/2024,9:07 AM,0712740,1371310,R1436,12,3,T27,,,"Khny Sokry,Phan Phanna,Toeu Siha,Simone Groger,Chek Sokkhon",WA 29_8_24,581.19,No,,
8/25/2024,9:07 AM,,,0712742,1371313,R1436,3812,3,T27,,,"Khny Sokry,Dean Den,Myn Nak,Phan Phanna",,,Yes,,
4/24/2024,8:38 AM,8/12/2024,11:17 AM,0712729,1364486,R1437,3818,3,T17,,,"Khny Sokry,phan phanna,Sorm Sormach,Chek Sokkhon",WA 18_8_24,566.57,No,,
12/8/2024,11:17 AM,,,0712733,1364487,R1437,3811,3,T17,,,"Khny Sokry,Dean Den,Myn Nak,Phan Phanna",,,Yes,,
5/2/2024,8:00 AM,8/25/2024,9:19 AM,0719507,1378163,R1438,3843,2,T36,,y,"Toeu Bann,Sorm Sormach,Nhev Thean,Toeu Chan,Sarin Phoeung",WA 29_8_24,591.9,No,,WA 29_9_24
8/25/2024,9:25 AM,,,0719507,1378163,R1438,3841,2,T36,,,"Toeu Bann,Moeun Lita,Thak Liang, Sorm Sormach",,,Yes,,
4/23/2024,12:27 PM,8/13/2024,1:30 PM,0712740,1357682,R1440,3817,3,T09,,,"Khny Sokry,Chek Sokkhon,Myn Nak",WA 18_8_24,576.55,No,,
8/13/2024,1:30 PM,,,0712747,1357686,R1440,3813,3,T09,,,"Khny Sokry,Dean Den,Phan Phanna",,,Yes,,
5/3/2024,11:20 AM,8/23/2024,8:31 AM,0705908,1378182,R1441,3844,2,T34,,,"Toeu Bann,Nhev Thean,Sarin Phoeung,Dean Den",WA 29_8_24,575.65,No,,
8/23/2024,8:36 AM,,,0705908,1378182,R1441,3842,2,T34,,,"Toeu Bann Sorm Sormach,Sarin Phoeung",,,Yes,,
2/5/2024,12:50 PM,8/23/2024,11:12 PM,0712744,1378133,R1442,15,3,T35,,y,"Toeu Bann,Sorm Sormach,Nhev Thean,Toeu Chan,Sarin Phoeung",WA 29_8_24,581.1,No,,
8/23/2024,11:17 AM,,,0712744,1378133,R1442,3818,3,T35,,,"Toeu Bann,Moeun Lita,Thak Liang, Sorm Sormach,Sarin Phoeung",,,Yes,,
4/23/2024,9:03 AM,8/15/2024,10:41 AM,0712838,1337257,R1443,3814,Chamka,T01,,,"Toeu Bann,Sarin Phoeung,Dean Den",WA 18_8_24,586.77,No,,
8/15/2024,10:50 AM,,,0712838,1337257,R1443,3826,Chamka,T01,,,"Toeu Bann,Sorm Sormach,Sarin Phoeung,",,,Yes,,
3/24/2024,8:30 AM,7/18/2024,7:35 AM,0692293,1371328,R1445,3824,3,T24,,,"Khny Sokry,Chek Sokkhon,Moeun Lita,Thak Liang,Sarin Phoeung",WA 19_7_24,596.59,No,,
7/18/2024,7:35 AM,,,0629295,1371329,R1445,3836,3,T24,,,"Khny Sokry,Moeun Lita,Thak Liang, Simone Groger, Phan Phanna",,,Yes,,
4/6/2024,1:29 PM,7/24/2024,9:05 AM,0705927,1385023,R1449,3829,3,T39,,y,"Khny Sokry,Myn Nak,phan phanna,Sorm Sormach,Moeun Lita,Thak Liang",WA 30_7_24,559.96,No,,
7/24/2024,9:05 AM,,,0705920,1385031,R1449,3840,3,T39,,,"Khny Sokry,Phan Phanna,Thak Lieng,Moeun Lita,Dean Den",,,Yes,,
3/23/2024,9:25 AM,7/16/2024,8:51 AM,0699070,1364489,R1452,3822,2,T15,,,"Toeu Bann,Sorm Sormach,Phan Phanna,Myn Nak,Dean Den",WA 19_7_24,591.51,No,,
7/16/2024,9:00 AM,,,0699070,1364489,R1452,3832,2,T15,,,"Toeu Bann,Chek Sokkhon,Sarin Phoeung,",,,Yes,,
3/16/2024,8:51 AM,6/26/2024,1:41 PM,0706241,1350782,R1453,3837,Chamka,T04,,,"Toeu Bann,Run Hang,Sorm Sormach,Phan Phanna,Myn Nak,Dean den",WA 29_6_24,525.8,No,,
6/26/2024,1:41 PM,,,0706241,1350782,R1453,23,Chamka,T04,,,"Toeu Bann,Sarin Phoeung,Moeun Lita,Thak Liang, Simone Groger, Myn Nak",,,Yes,,
7/4/2024,5:05 PM,7/23/2024,8:18 AM,0712749,1384861,R1454,3813,3,T40,,y,"Khny Sokry,Myn Nak,phan phanna,Sorm Sormach",WA 30_7_24,549.12,No,,
7/23/2024,8:18 AM,,,0712747,1384867,R1454,16,3,T40,,,"Khny Sokry,Phan Phanna,Thak Lieng,Moeun Lita,Dean Den",,,Yes,,
6/25/2024,10:04 AM,,,0732981,1364801,R1455,26,5,T20,,,"Khny Sokry,Phan Phanna,Chek Sokkhon,Dean Den,Sorm Sormach",,,Yes,,
3/12/2024,9:10 AM,6/25/2024,10:04 AM,0732978,1364803,R1455,3827,5,T20,,y,"Khny Sokry,Chek Sokkhon,Moeun Lita,Thak Liang,Sarin Phoeung",WA 29_6_24,540.47,No,,
4/26/2024,8:35 AM,8/13/2024,9:35 AM,0726334,1364480,R1456,3812,2,T19,,,"Toeu Bann,Sarin Phoeung,Dean Den",WA 18_8_24,560.96,No,,
8/13/2024,9:44 AM,,,0726334,1364480,R1456,3825,2,T19,,,"Toeu Bann,Sorm Sormach,Sarin Phoeung,",,,Yes,,
5/4/2024,8:00 AM,7/23/2024,1:21 PM,0692297,1378097,R1457,3811,2,T32,,y,"Toeu Bann,Sorm Sormach,Sarin Phoeung, Nak, Phanna,Li ta,Liang",WA 30_7_24,560.28,No,,
7/23/2024,1:03 PM,,,0692297,1378097,R1457,3824,2,T32,,,"Toeu Bann,Myn Nak,Sorm Sormach,Sarin Phoeung,Chek Sokkhon",,,Yes,,
6/4/2024,7:27 AM,7/23/2024,9:20 AM,0699101,1378043,R1458,3826,2,T33,,y,"Toeu Bann,Sorm Sormach,Sarin Phoeung, Nak, Phanna,Li ta,Liang",WA 30_7_24,556.12,No,,
7/23/2024,9:27 AM,,,0699101,1348043,R1458,3823,2,T33,,,"Toeu Bann,Myn Nak,Sorm Sormach,Sarin Phoeung,Chek Sokkhon",,,Yes,,
4/23/2024,8:43 AM,8/15/2024,9:50 AM,0705927,1357698,R1460,3816,2,T08,,,"Khny Sokry,phan phanna,Sorm Sormach",WA 18_8_24,287.06,No,,
8/15/2024,9:50 AM,,,0705924,1357704,R1460,3819,2,T08,,,"Khny Sokry,Dean Den",,,Yes,,
4/26/2024,9:22 AM,8/12/2024,8:01 AM,0719539,1364464,R1461,3842,2,T18,,y,"Khny Sokry,phan phanna,Chek Sokkhon,Myn Nak",WA 18_8_24,55.47,No,,554.6 GB
12/8/2024,8:01 AM,,,0719536,1364461,R1461,3820,2,T18,,,"Khny Sokry,Dean Den,Myn Nak",,,Yes,,
6/4/2024,10:22 AM,7/26/2024,9:04 AM,0699115,1384927,R1462,3825,3,T38,,y,"Khny Sokry,Myn Nak,phan phanna,Sorm Sormach,Moeun Lita,Thak Liang",WA 30_7_24,0.94,No,,
7/26/2024,9:04 AM,,,0699112,1384930,R1462,3821,3,T38,,,"Khny Sokry,Phan Phanna,Thak Lieng,Moeun Lita,Dean Den",,,Yes,,
4/24/2024,9:37 AM,8/16/2024,9:08 AM,0712679,1344091,R1463,3841,2,T02,,,"Toeu Bann,Sarin Phoeung,Dean Den",WA 18_8_24,586.53,No,,
8/16/2024,9:14 AM,,,0712679,1344091,R1463,3829,2,T02,,,"Toeu Bann,Sorm Sormach,Sarin Phoeung,",,,Yes,,
4/25/2024,9:45 AM,8/12/2024,8:47 AM,0733147,1357754,R1464,3815,2,T12,,,"Toeu Bann,Sarin Phoeung,Moeun Lita,Thak Liang",WA 18_8_24,560.55,No,,
12/8/2024,8:53 AM,,,0733147,1357754,R1464,3830,2,T12,,,"Toeu Bann,Sorm Sormach,Sarin Phoeung,Yon Tony",,,Yes,,
